Function,x,y,TruthVal
Jacobi,-25.4297,-0.912196,0
Jacobi,45.4966,0.622201,0
Jacobi,-32.1767,-1.04823,0
Jacobi,-44.7206,-1.08756,0
Jacobi,-49.1238,0.25448,0
Jacobi,-28.2476,0.576961,0
Jacobi,25.9883,1.46545,0
Jacobi,1.99745,0.768154,0
Jacobi,5.9873,-0.301965,0
Jacobi,20.6063,1.26757,0
Jacobi,28.996,-0.502687,0
Jacobi,-46.2209,0.621802,0
Jacobi,44.1501,0.79289,0
Jacobi,-43.9542,-1.54688,0
Jacobi,-7.6893,-0.806722,0
Jacobi,-6.14115,-0.074763,0
Jacobi,9.68723,-0.468613,0
Jacobi,-43.5505,-0.742068,0
Jacobi,-27.4357,0.362233,0
Jacobi,-12.9692,-0.75301,0
Jacobi,47.0337,-1.21658,0
Jacobi,27.8496,-0.342599,0
Jacobi,27.0769,0.345092,0
Jacobi,6.05137,-0.14089,0
Jacobi,-4.59422,1.25524,0
Jacobi,1.04302,1.16409,0
Jacobi,25.8212,1.30363,0
Jacobi,13.6743,1.08041,0
Jacobi,-27.1016,-0.416758,0
Jacobi,-34.8165,1.23397,0
Jacobi,37.4452,0.211603,0
Jacobi,34.7396,-1.09509,0
Jacobi,19.7148,1.00385,0
Jacobi,31.269,0.511704,0
Jacobi,46.4259,-0.263379,0
Jacobi,31.6988,1.03613,0
Jacobi,-24.9927,-0.444968,0
Jacobi,-13.1311,-0.938079,0
Jacobi,45.6089,0.719748,0
Jacobi,-45.8738,-0.391042,0
Jacobi,19.4695,0.870171,0
Jacobi,48.8547,-0.327592,0
Jacobi,-27.4324,-0.207735,0
Jacobi,-34.6252,0.690046,0
Jacobi,17.0911,-1.32538,0
Jacobi,-38.7437,-0.568928,0
Jacobi,-7.51991,-1.28677,0
Jacobi,21.628,0.356423,0
Jacobi,-30.3269,1.579,0
Jacobi,-46.7991,0.355902,0
Jacobi,-12.2722,-0.636396,0
Jacobi,31.1176,0.370133,0
Jacobi,-16.1226,1.01911,0
Jacobi,-29.9989,0.565221,0
Jacobi,-42.5081,0.355042,0
Jacobi,17.5964,-0.520843,0
Jacobi,-5.26717,0.20872,0
Jacobi,20.4343,1.14331,0
Jacobi,27.8399,-0.141181,0
Jacobi,-11.9189,0.667609,0
Jacobi,21.1424,0.291497,0
Jacobi,43.8458,0.586456,0
Jacobi,-24.6287,0.248235,0
Jacobi,13.2367,0.411526,0
Jacobi,26.1128,1.00046,0
Jacobi,-8.82845,-0.664979,0
Jacobi,42.4358,-0.88961,0
Jacobi,-37.9652,-1.0237,0
Jacobi,28.1337,-0.714954,0
Jacobi,-24.4347,0.0704793,0
Jacobi,49.6163,0.635082,0
Jacobi,-40.0631,0.388098,0
Jacobi,-40.9313,0.84496,0
Jacobi,31.3379,1.30747,0
Jacobi,-33.0036,-0.918104,0
Jacobi,16.3265,-1.25186,0
Jacobi,13.5287,0.396487,0
Jacobi,-2.89148,0.396951,0
Jacobi,-8.65887,-0.576445,0
Jacobi,46.7248,-0.430565,0
Jacobi,44.3491,0.99516,0
Jacobi,29.5263,-1.19675,0
Jacobi,-39.9331,0.538803,0
Jacobi,7.04667,0.729345,0
Jacobi,19.2511,0.743051,0
Jacobi,18.0894,-0.623598,0
Jacobi,23.4926,-1.00892,0
Jacobi,3.42261,0.107368,0
Jacobi,41.2482,-1.14109,0
Jacobi,36.4178,-0.592558,0
Jacobi,40.7855,-0.608296,0
Jacobi,-25.031,-0.451009,0
Jacobi,-18.7469,-0.765022,0
Jacobi,-24.7126,-0.719415,0
Jacobi,-15.6073,0.586626,0
Jacobi,-40.742,0.941886,0
Jacobi,-25.0105,-0.771197,0
Jacobi,-27.3621,-0.792441,0
Jacobi,10.1057,-0.775047,0
Jacobi,15.3745,-0.293832,0
Jacobi,-12.5317,-0.0439139,0
Jacobi,-35.5113,0.938062,0
Jacobi,-27.9791,0.0618628,0
Jacobi,31.2241,0.59549,0
Jacobi,-0.261713,-0.0315026,0
Jacobi,43.8923,0.712039,0
Jacobi,-47.4319,0.906673,0
Jacobi,-45.4515,-0.702308,0
Jacobi,39.8565,-0.0805814,0
Jacobi,-33.8323,0.164779,0
Jacobi,25.405,0.884332,0
Jacobi,-26.6575,-1.10483,0
Jacobi,5.83485,-0.0992654,0
Jacobi,-21.1926,-0.374236,0
Jacobi,-49.1496,-0.390819,0
Jacobi,-1.21067,-0.763716,0
Jacobi,17.5144,-0.759911,0
Jacobi,31.5671,1.05314,0
Jacobi,-42.6974,-0.0519385,0
Jacobi,-13.3214,-0.883434,0
Jacobi,19.3293,0.970513,0
Jacobi,-29.105,0.809433,0
Jacobi,-25.0721,-0.473582,0
Jacobi,-11.3559,0.972039,0
Jacobi,34.1807,-0.365338,0
Jacobi,12.557,0.593572,0
Jacobi,-40.0738,0.303854,0
Jacobi,-47.4396,0.549677,0
Jacobi,-38.259,-0.757632,0
Jacobi,10.601,-1.01469,0
Jacobi,-18.9469,-0.501892,0
Jacobi,25.8679,1.31283,0
Jacobi,37.5556,0.854964,0
Jacobi,-15.6966,0.866606,0
Jacobi,39.8919,0.326218,0
Jacobi,0.255002,0.125216,0
Jacobi,11.853,-0.150557,0
Jacobi,-47.9989,1.00757,0
Jacobi,-30.1372,0.713604,0
Jacobi,-27.391,-0.133557,0
Jacobi,-37.0809,-0.584155,0
Jacobi,-3.52961,0.309088,0
Jacobi,10.2587,-1.10503,0
Jacobi,-17.6871,1.02042,0
Jacobi,-48.7743,0.491967,0
Jacobi,-28.2403,0.681737,0
Jacobi,18.9659,0.917884,0
Jacobi,41.34,-0.766952,0
Jacobi,45.8985,0.240205,0
Jacobi,0.763703,1.05279,0
Jacobi,27.9265,-0.564056,0
Jacobi,37.8826,1.05905,0
Jacobi,16.3536,-0.691021,0
Jacobi,14.4205,0.303572,0
Jacobi,9.86894,-0.487882,0
Jacobi,29.7881,-1.43912,0
Jacobi,-24.3735,0.426813,0
Jacobi,10.4474,-1.32891,0
Jacobi,11.0054,-0.677824,0
Jacobi,-20.5001,-0.678978,0
Jacobi,-39.9262,0.470604,0
Jacobi,8.43365,1.01378,0
Jacobi,22.6785,-0.215456,0
Jacobi,-13.3485,-0.646837,0
Jacobi,9.30433,0.186754,0
Jacobi,11.5635,-0.699645,0
Jacobi,47.786,-1.25066,0
Jacobi,5.88312,-0.404904,0
Jacobi,11.0344,-1.41611,0
Jacobi,-48.0531,0.897164,0
Jacobi,-9.34226,0.382757,0
Jacobi,18.0494,-0.86046,0
Jacobi,43.9296,0.565698,0
Jacobi,-2.54165,-0.811432,0
Jacobi,9.36082,-0.57235,0
Jacobi,40.6417,-1.45698,0
Jacobi,-36.5656,0.52903,0
Jacobi,-49.3298,-0.157791,0
Jacobi,-1.66339,-0.444123,0
Jacobi,-5.17589,1.03558,0
Jacobi,10.7509,-0.665412,0
Jacobi,23.9585,-0.537619,0
Jacobi,-10.7674,1.16432,0
Jacobi,-8.44537,-1.08833,0
Jacobi,-32.778,-1.17356,0
Jacobi,-12.6809,-0.438606,0
Jacobi,16.0319,-0.967255,0
Jacobi,26.2547,0.609476,0
Jacobi,1.85466,0.781721,0
Jacobi,20.0061,0.84892,0
Jacobi,-49.8643,-0.238459,0
Jacobi,-47.7043,1.15525,0
Jacobi,-27.0674,-1.04566,0
Jacobi,-7.70699,-1.71445,0
Jacobi,4.62897,-0.469473,0
Jacobi,-34.2494,0.601372,0
Jacobi,-46.2655,0.79922,0
Jacobi,-30.2274,0.731884,0
Jacobi,33.0376,0.389746,0
Jacobi,41.9242,-1.29166,0
Jacobi,-33.6293,0.216726,0
Jacobi,12.3422,0.212172,0
Jacobi,-39.9582,0.431019,0
Jacobi,21.7265,-0.347091,0
Jacobi,-12.5503,-1.1462,0
Jacobi,-45.4703,-0.866543,0
Jacobi,-25.378,-1.06548,0
Jacobi,20.5307,0.965077,0
Jacobi,-39.8713,-0.42257,0
Jacobi,22.1265,-0.205816,0
Jacobi,39.2041,0.601748,0
Jacobi,-24.7976,-0.379969,0
Jacobi,-8.14579,-0.91878,0
Jacobi,41.5766,-0.682532,0
Jacobi,-34.6236,0.897465,0
Jacobi,-25.7924,-1.07861,0
Jacobi,-22.2949,1.01834,0
Jacobi,-42.2747,0.934342,0
Jacobi,-44.5756,-0.595506,0
Jacobi,-42.5777,0.423166,0
Jacobi,-41.8638,1.10997,0
Jacobi,32.2907,1.40107,0
Jacobi,47.2371,-0.977097,0
Jacobi,-5.19098,0.576477,0
Jacobi,-24.5826,-0.243321,0
Jacobi,-11.9576,0.237149,0
Jacobi,-41.582,1.15094,0
Jacobi,-13.4824,-0.968175,0
Jacobi,34.1267,-0.951888,0
Jacobi,-19.7438,-0.865974,0
Jacobi,12.3801,0.240714,0
Jacobi,19.128,0.588661,0
Jacobi,-35.0334,1.46325,0
Jacobi,-32.8381,-1.09742,0
Jacobi,12.7055,0.652075,0
Jacobi,25.7598,1.18895,0
Jacobi,36.5095,-0.622648,0
Jacobi,23.735,-0.690114,0
Jacobi,-13.8488,-0.4792,0
Jacobi,-29.4338,1.33175,0
Jacobi,2.26269,1.34574,0
Jacobi,17.2647,-0.760113,0
Jacobi,32.0833,1.11776,0
Jacobi,48.7401,-0.469279,0
Jacobi,-4.5883,1.62432,0
Jacobi,49.8725,0.862934,0
Jacobi,17.5436,-1.00797,0
Jacobi,-8.51145,-0.405377,0
Jacobi,-1.01294,-1.07954,0
Jacobi,-14.1911,-1.30415,0
Jacobi,-34.216,0.352303,0
Jacobi,-12.3955,-0.178569,0
Jacobi,43.4788,0.889771,0
Jacobi,21.7938,-0.670801,0
Jacobi,18.0067,0.0437905,0
Jacobi,40.1626,-0.661787,0
Jacobi,40.9478,-0.597118,0
Jacobi,-40.7604,1.49039,0
Jacobi,-0.736748,-0.675969,0
Jacobi,12.5405,1.15635,0
Jacobi,-49.7396,-1.32454,0
Jacobi,28.2296,-0.749388,0
Jacobi,-42.1086,1.01818,0
Jacobi,48.5414,-0.614747,0
Jacobi,9.21655,-0.273737,0
Jacobi,11.1074,-1.24965,0
Jacobi,39.9992,-0.193357,0
Jacobi,17.9859,-1.02856,0
Jacobi,-11.7459,0.912496,0
Jacobi,-16.7554,0.472677,0
Jacobi,-24.5829,0.0259485,0
Jacobi,35.4054,-0.65837,0
Jacobi,-37.9685,-0.95029,0
Jacobi,-5.76114,0.91563,0
Jacobi,13.8652,0.924627,0
Jacobi,-35.2741,1.13482,0
Jacobi,11.2276,-0.564557,0
Jacobi,-6.29992,-0.457712,0
Jacobi,36.3779,-0.614585,0
Jacobi,-6.27012,0.117189,0
Jacobi,-10.4697,0.415361,0
Jacobi,-44.4431,-0.707274,0
Jacobi,-22.3177,0.8374,0
Jacobi,44.6155,1.23306,0
Jacobi,-4.04643,0.963375,0
Jacobi,-0.118575,-0.177061,0
Jacobi,-19.1268,-0.0800819,0
Jacobi,-29.5343,1.04447,0
Jacobi,3.6836,-0.140955,0
Jacobi,33.2492,-0.00345474,0
Jacobi,30.3625,-0.704864,0
Jacobi,7.71687,1.00508,0
Jacobi,26.5291,0.578865,0
Jacobi,6.07296,-0.0591509,0
Jacobi,-3.19395,0.297821,0
Jacobi,-9.48258,0.609845,0
Jacobi,8.01868,1.06626,0
Jacobi,49.35,0.359648,0
Jacobi,8.27381,1.2829,0
Jacobi,-24.0283,0.685636,0
Jacobi,34.1629,-0.846392,0
Jacobi,15.4095,-0.19818,0
Jacobi,5.82508,-0.106656,0
Jacobi,4.00428,-0.732136,0
Jacobi,45.8967,0.0615613,0
Jacobi,2.78773,0.419957,0
Jacobi,-28.4811,1.19538,0
Jacobi,-29.3669,0.505423,0
Jacobi,17.207,-1.21671,0
Jacobi,9.96122,-0.557073,0
Jacobi,6.65297,0.513309,0
Jacobi,-29.3674,1.1661,0
Jacobi,30.6751,0.193858,0
Jacobi,-47.4314,0.820196,0
Jacobi,-29.1338,1.53087,0
